,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
1,shit,back,money,make,aint,like,like,life,know,yall
2,get,now,like,jayz,never,said,let,just,like,jayz
3,dont,come,wanna,feel,one,jayz,gotta,way,love,got
4,fuck,bout,got,dont,dont,best,chorus,live,got,uhh
5,right,verse,get,flow,thats,big,back,man,baby,cant
6,yall,yeah,two,fuck,say,got,now,day,girls,yeah
7,like,youre,keep,gotta,gonna,young,cant,people,now,jigga
8,mind,aint,shit,like,can,kelly,see,time,chorus,get
9,rap,hey,first,way,ill,hov,just,came,girl,watch
10,man,get,back,brooklyn,little,right,dont,theres,just,uhhuh
